type	by	post_id	subcategory	category_new	category	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
link	post_page_25604775729	25604775729_10156781526170730		Alltag/Gesundheit/Verbraucher	Alltag/Skurriles	https://www.facebook.com/bild/posts/10156781526170730	Innerhalb weniger Monate stieg sie zum Star in der Branche auf  doch ganz plötzlich beendete sie ihre Karriere. Jetzt sprach die 25-Jährige zum ersten Mal über den wahren Grund für ihren Ausstieg.	https://external.xx.fbcdn.net/safe_image.php?d=AQDReXar8SN0N4xk&w=130&h=130&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Fdie-25-jaehrige-mia-khalifa-zeigt-sich-auf-instagram-mal-freizuegig-mal-zuechtig-200712544-54966664%2FBild%2F3.bild.jpg&cfs=1&sx=0&sy=0&sw=720&sh=720&_nc_hash=AQBAeAq1XvkSQSZX	https://external.xx.fbcdn.net/safe_image.php?d=AQATAFaEwAq_bZxB&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Fdie-25-jaehrige-mia-khalifa-zeigt-sich-auf-instagram-mal-freizuegig-mal-zuechtig-200712544-54966664%2FBild%2F3.bild.jpg&_nc_hash=AQAELPhAHXPAShPo	https://www.bild.de/news/ausland/pornostar/mia-khalifa-54966578.bild.html	bild.de	2018-03-01T15:44:00+0000	1519919040	2018-03-01 16:44:00	628	907	993	61	1961	798	465	333	2946	7	29	189	130	10	0
link	post_page_25604775729	25604775729_10156844290310730	Tiere, Schicksal	Alltag/Gesundheit/Verbraucher	Alltag/Skurriles	https://www.facebook.com/bild/posts/10156844290310730	Das Kitz ist dehydriert  atmet schwer – seine Mutter wurde überfahren. Die Tierrettung sagt nur: „Erschießen Sie es.“ Doch das kann Familie Albjerg dem süßen Reh nicht antun.	https://external.xx.fbcdn.net/safe_image.php?d=AQDiiTUkusOo5Cna&w=130&h=130&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Falbjerg-200729833-55127130%2FBild%2F2.bild.jpg&cfs=1&_nc_hash=AQB3rwWHdPjjnC3T	https://external.xx.fbcdn.net/safe_image.php?d=AQB7Xbnv3MdKg1CS&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Falbjerg-200729833-55127130%2FBild%2F2.bild.jpg&_nc_hash=AQCDRAh_wISgWafe	https://www.bild.de/news/ausland/reh/wir-haben-ein-reh-als-haustier-55127170.bild.html	bild.de	2018-03-18T08:32:00+0000	1521361920	2018-03-18 09:32:00	475	77	654	39	770	75	41	34	171	149	4	20	5	1	0
link	post_page_25604775729	25604775729_10156789117950730	Tiere, Schicksal	Alltag/Gesundheit/Verbraucher	Alltag/Skurriles	https://www.facebook.com/bild/posts/10156789117950730	Nur die 400 Welpen des Heims sind in beheizten Räumen untergebracht  alle anderen müssen draußen durchhalten.	https://scontent.xx.fbcdn.net/v/t39.2147-6/c50.0.130.130/p130x130/28218538_10156789115895730_3216144117666938880_n.jpg?oh=4327db75caec1914fdff1e9660182aca&oe=5B3AD59D	https://scontent.xx.fbcdn.net/v/t39.2147-6/28218538_10156789115895730_3216144117666938880_n.jpg?oh=8954db8f593668837d0f5baacc3e820f&oe=5B40358A	https://www.bild.de/news/ausland/rumaenien/eis-und-schnee-bedrohen-riesiges-tierheim-54974584,la=de.bild.html	bild.de	2018-03-03T18:03:00+0000	1520100180	2018-03-03 19:03:00	293	318	2191	1233	3742	301	108	193	1435	11	30	1	1675	181	0
link	post_page_25604775729	25604775729_10156786982350730	Tiere, Schicksal	Alltag/Gesundheit/Verbraucher	Alltag/Skurriles	https://www.facebook.com/bild/posts/10156786982350730	Es sind herzerweichende Bilder – hinter denen eine grausame Geschichte steckt.	https://external.xx.fbcdn.net/safe_image.php?d=AQBaHc1VMPSYN4yg&w=130&h=130&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2F9405059-bild-jpg_200714430_mbqf-1520009675-54985194%2FBild%2F1.bild.jpg&cfs=1&_nc_hash=AQBbb1D9CFoW8skc	https://external.xx.fbcdn.net/safe_image.php?d=AQC9AsUgOugfUKlK&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2F9405059-bild-jpg_200714430_mbqf-1520009675-54985194%2FBild%2F1.bild.jpg&_nc_hash=AQB973EVVM3aPm52	https://www.bild.de/news/ausland/schimpanse/wird-vor-wilderern-gerettet-54976146,la=de.bild.html	bild.de	2018-03-02T21:23:10+0000	1520025790	2018-03-02 22:23:10	2070	116	2823	129	3068	114	84	30	314	643	13	1	94	2	0
link	post_page_25604775729	25604775729_10156782005220730	Schicksal	Alltag/Gesundheit/Verbraucher	Alltag/Skurriles	https://www.facebook.com/bild/posts/10156782005220730	Bella ist ein Mädchen  wie jedes andere auch. Hänseleien trieben sie zum Chirurgen. Das Traurige: Dieser berichtet von noch weitaus jüngeren Patienten.	https://external.xx.fbcdn.net/safe_image.php?d=AQAkHetwlk4Tp5Fh&w=130&h=130&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Fschuelerin-wurde-gemobbt-11-jaehrige-geht-zum-beauty-doc-200712883-54969690%2FBild%2F3.bild.jpg&cfs=1&sx=268&sy=0&sw=720&sh=720&_nc_hash=AQCNJmZ7Z_LmWL4V	https://external.xx.fbcdn.net/safe_image.php?d=AQBwSfdMczFxCFZq&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Fschuelerin-wurde-gemobbt-11-jaehrige-geht-zum-beauty-doc-200712883-54969690%2FBild%2F3.bild.jpg&_nc_hash=AQBF2MKWfoR3xM9E	https://www.bild.de/news/ausland/schoenheitsoperationen/11-jaehriges-maedchen-beim-beauty-doc-54957468.bild.html	bild.de	2018-03-01T17:43:00+0000	1519926180	2018-03-01 18:43:00	168	275	470	23	768	264	153	111	1597	6	8	3	237	48	0
link	post_page_25604775729	25604775729_10156841229525730	Schicksal	Alltag/Gesundheit/Verbraucher	Gesellschaft/Ethik/Politik	https://www.facebook.com/bild/posts/10156841229525730	Die Zoobesucher mussten zusehen  wie der Pfleger vor ihren Augen stirbt.	https://scontent.xx.fbcdn.net/v/t39.2147-6/c50.0.130.130/p130x130/28578248_2084394001778888_8207089603895623680_n.jpg?_nc_cat=0&oh=e9e9ccbd143dc9ed2e14651ea8a760c2&oe=5B363702	https://scontent.xx.fbcdn.net/v/t39.2147-6/28578248_2084394001778888_8207089603895623680_n.jpg?_nc_cat=0&oh=e744c3b58fe1f51c31e0aff622780252&oe=5B2A526B	https://www.bild.de/news/ausland/tiger/zerfleischt-pfleger-china-zoo-video-55079548,la=de.bild.html	bild.de	2018-03-17T22:33:00+0000	1521325980	2018-03-17 23:33:00	601	245	1158	55	1458	233	188	45	1877	4	111	44	379	19	0
link	post_page_25604775729	25604775729_10156859004675730	Schicksal	Alltag/Gesundheit/Verbraucher	Alltag/Skurriles	https://www.facebook.com/bild/posts/10156859004675730	Es sind die letzten Augenblicke im Leben von Elaine. Die Aufnahmen zeigen  dass das autonome Auto sie beinahe ungebremst erfasst.	https://scontent.xx.fbcdn.net/v/t39.2147-6/c100.0.130.130/p130x130/28985545_290160798183830_5712789872184393728_n.jpg?_nc_cat=0&oh=2e9807449bc5388282a8c55ef5e00e2c&oe=5B73179E	https://scontent.xx.fbcdn.net/v/t39.2147-6/28985545_290160798183830_5712789872184393728_n.jpg?_nc_cat=0&oh=c6e401d6b122adceb8906e832f0c1012&oe=5B72340E	https://www.bild.de/news/ausland/uber/polizei-veroeffentlicht-dashcam-aufnahmen-die-sekunden-vor-dem-toedlichen-uber-c-55173120,la=de.bild.html	bild.de	2018-03-22T10:33:00+0000	1521714780	2018-03-22 11:33:00	372	444	728	63	1235	424	159	265	3415	0	24	4	241	87	0
link	post_page_25604775729	25604775729_10156859363410730		Alltag/Gesundheit/Verbraucher	Straftat	https://www.facebook.com/bild/posts/10156859363410730	Eigentlich gilt das Abseilen an diesem Wasserfall als nicht gefährlich und erfreut sich großer Beliebtheit bei Touristen.	https://external.xx.fbcdn.net/safe_image.php?d=AQAeh2vFBBpq5Fqz&w=130&h=130&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Fdeutsche-35-stuerzt-100-meter-in-die-tiefe--tot--200735085-55175636%2FBild%2F2.bild.jpg&cfs=1&_nc_hash=AQAWLUrTqu0CnAl0	https://external.xx.fbcdn.net/safe_image.php?d=AQCIoYlESH7LyiBP&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Fdeutsche-35-stuerzt-100-meter-in-die-tiefe--tot--200735085-55175636%2FBild%2F2.bild.jpg&_nc_hash=AQARzPLYjgm8YFdq	https://www.bild.de/news/ausland/unfaelle/deutsche-stuerzt-100-meter-tief-55174232,la=de.bild.html	bild.de	2018-03-22T12:33:00+0000	1521721980	2018-03-22 13:33:00	32	3	77	3	83	3	3	0	5	0	7	2	36	0	0
link	post_page_25604775729	25604775729_10156838985505730	Schicksal	Alltag/Gesundheit/Verbraucher	Gesellschaft/Ethik/Politik	https://www.facebook.com/bild/posts/10156838985505730	Was für ein Albtraum! Der Lift fuhr plötzlich rückwärts und mit doppelter Geschwindigkeit. Schreiende Skifahrer wurden aus den Sesseln hinausgeschleudert... 😳	https://external.xx.fbcdn.net/safe_image.php?d=AQBHkhz4L2MyIV8b&w=130&h=130&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Fin-georgien-fuhr-ein-sessellift-ploetzlich-viel-zu-schnell--und-rueckwaerts-skifahrer-wurden-durch-die-200729268-55124354%2FBild%2F2.bild.jpg&cfs=1&_nc_hash=AQCY8mzydJR5a5ti	https://external.xx.fbcdn.net/safe_image.php?d=AQBDscHCmGxPalpn&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Fin-georgien-fuhr-ein-sessellift-ploetzlich-viel-zu-schnell--und-rueckwaerts-skifahrer-wurden-durch-die-200729268-55124354%2FBild%2F2.bild.jpg&_nc_hash=AQBydWqHD-UX7PAg	https://www.bild.de/news/ausland/unfaelle/ski-lift-drama-55120754.bild.html	bild.de	2018-03-16T20:43:00+0000	1521232980	2018-03-16 21:43:00	405	587	1154	235	1976	568	389	179	659	2	419	38	273	17	0
link	post_page_25604775729	25604775729_10156785430715730	Tiere, Schicksal	Alltag/Gesundheit/Verbraucher	Gesellschaft/Ethik/Politik	https://www.facebook.com/bild/posts/10156785430715730	Dieser Puma ist nur noch Haut und Knochen. Und auch den anderen Tieren geht es nicht besser. Deshalb müssen jetzt einige Tiere sterben  um den anderen das Leben zu retten.	https://external.xx.fbcdn.net/safe_image.php?d=AQB3yekKlbohYJ2o&w=130&h=130&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Fum-sie-an-andere-zu-verfuettern-zoo-in-venezuela-schlachtet-seine-tiere-200713669-54977008%2FBild%2F3.bild.jpg&cfs=1&_nc_hash=AQDWUrfORDG_f9O9	https://external.xx.fbcdn.net/safe_image.php?d=AQArEw7HHbI-V6yQ&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Fum-sie-an-andere-zu-verfuettern-zoo-in-venezuela-schlachtet-seine-tiere-200713669-54977008%2FBild%2F3.bild.jpg&_nc_hash=AQCZO53abss3cvGh	https://www.bild.de/news/ausland/venezuela/zoo-tiere-werden-geschlachtet-und-verfuettert-54976242.bild.html	bild.de	2018-03-02T13:43:00+0000	1519998180	2018-03-02 14:43:00	278	292	2918	207	3417	270	168	102	968	2	28	0	907	1703	0
